,AccLocation,NatureAccident,ClassificationOfAccident,Causes,RoadFeature,RoadCondition,IntersectionTypeControl,WeatherCondition,VehicleResponsible,Fatal,Grevious,Minor,Injured,NumAnimalsKilled,Remarks,AccYear,AccMonth,AccDay,Encoded_HelpProvidedByPoliceAmbulance,TimeOfAccNumeric,Encoded_AccidentTimeMorningEvening,Encoded_VehicleResponsible
76,122.100 KMLHS,2,4,2,4,4,9,1,Car,0,0,0,3,0,A upside due to drink & drive,2015,12,4,2,12:00,0,17
77,"153.900KM,MCW,LHS",2,1,2,4,4,9,1,"Car(CJV),Bus(Bus)",1,0,0,0,0,,2018,12,1,1,03:12,0,24
78,112.600KM LHS,7,4,2,4,4,9,1,Car(CJV),0,0,0,0,0,,2018,12,1,2,04:50,0,23
79,"142.300KM,MCW,RHS",7,4,2,4,4,9,1,Truck(Truck - 2 Axle),0,0,0,0,0,,2018,12,1,2,09:10,0,57
80,Ch.86+000,2,1,3,2,3,9,1,truck,2,1,0,0,0,,2015,11,8,0,02:00,1,68
81,26+000 RHS,3,3,3,3,1,9,1,TRUCK(KA.01.AA.5702) HIT TO LCV(KA.28.A.3490)HIT TO MAV(KA.51.A.1903),0,0,1,0,0,INFORMED POLICE AND KEY PERSONS.,2014,11,10,2,06:00,0,51
82,24+750 LHS,6,2,3,3,1,9,1,BIKE (KA 52 K 5269) SKID,0,1,0,0,0,"PERSON SHIFTED BY 108.BIKE HANDOVERED TO POLICE STATION,INFORMED TO POLICE AND KEY PERSONS",2014,11,10,2,01:00,0,2
83,24+100 LHS,4,1,4,3,1,9,1,LCV(KA 53 8134) HIT LCV(KA 05 AD 9965),2,0,0,0,0,2 FATAL SHIFTED TO GOVT HOSPITAL.INFORMED TO POLICE AND KEY PERSONS.VEHICLES HANDOVERED TO POLICE STATION.,2014,11,10,1,03:30,0,31
84,Ch.86+000,2,1,3,2,3,9,1,Car,2,1,0,0,0,,2015,10,8,0,11:00,0,17
85,133+000 RHS,2,1,3,2,1,2,1,Two Wheeler and Lorry,1,0,3,1,0,Nil,2014,10,12,0,01:30,1,63
86,21+800 LHS,4,-,3,3,1,9,1,CAR (KA 04 ML 7625) HIT TRUCK ( KA 12 7979),0,0,0,0,0,NO PROPERTY DAMAGES. VEH HANDED OVER TO POLICE INFORMED KEY PERSONS.,2014,10,10,1,08:00,1,11
87,150.000 KM LHS,2,2,2,4,4,9,1,LCV & Bike,0,1,0,0,0,LCV & BIKE accident due to rear & collision,2015,1,4,2,08:30,0,26
88,148.900 KM LHS,2,2,2,4,4,9,1,Bike,0,1,0,0,0,A bike upside due to drink & drive,2015,1,4,2,04:30,1,5
89,12+500 LHS,3,3,2,3,1,9,1,CAR (KA 05 MN 6560) HIT CAR (KA 04 ML 7610),0,0,1,0,0,INFORMED POLICE & KEY PERSONS,2014,1,10,1,03:05,1,13
90,24+500 RHS S/R,1,3,2,2,1,9,1,CAR (KA 05 AA 6991) HIT LCV(KA 41 1864),0,0,2,3,0,INFORMED POLICE & KEY PERSONS,2014,1,10,1,07:20,1,12
